filme,ano,nota
Barbie e o Quebra-Nozes,2001,7.5
Barbie como Rapunzel,2002,8.0
Barbie em O Lago dos Cisnes,2003,8.1
Barbie em A Princesa e a Plebeia,2004,9.2
Barbie Fairytopia,2005,7.8
Barbie e a Magia de Pegasus,2005,8.3
Barbie em As 12 Princesas Bailarinas,2006,9.0
Barbie Fairytopia Mermaidia,2006,7.6
Barbie Fairytopia Magic of the Rainbow,2007,7.7
Barbie como A Princesa da Ilha,2007,8.9
Barbie e o Castelo de Diamante,2008,9.5
Barbie em A Canção de Natal,2008,8.4
Barbie Polegarzinha,2009,7.0
Barbie e as Três Mosqueteiras,2009,8.2
Barbie Moda e Magia,2010,7.9
Barbie Escola de Princesas,2011,8.8
Barbie Vida de Sereia,2010,7.5
Barbie em Vida de Sereia 2,2012,7.3
Barbie Butterfly e a Princesa Fairy,2013,7.2
Barbie e as Agentes Secretas,2016,6.8
Barbie Aventura nas Estrelas,2016,7.4
Barbie Golfinho Mágico,2017,7.1
Barbie Princess Adventure,2020,7.6
Barbie Big City Big Dreams,2021,7.8
Barbie,2023,9.6
